op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,dep_delay,taxi_out,taxi_in,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,fl_year,fl_month,fl_day,fl_dayofweek,is_weekend,season,crs_dep_hour,crs_dep_min,dep_hour,dep_min,wheels_off_hour,wheels_off_min,wheels_on_hour,wheels_on_min,crs_arr_hour,crs_arr_min,arr_hour,arr_min
4,2868.0,78,67,20,257,249,23,-0.1862275602394751,0.32001338058721673,-0.6241875981275594,-0.02642232344548387,0,0,-0.6621263357749353,-0.5458187826822725,-0.5435020418339425,-0.6652179546573401,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,5,9,3,0,1,8,40,8,43,9,4,9,21,9,19,9,25
1,751.0,55,46,31,242,241,48,0.03752003505571003,-0.49934715925860135,0.08284838606039312,-0.47525957337548574,0,0,2.904740155718954,2.5240232935209255,2.6579882068981173,2.4134064237709056,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,1,4,3,0,3,16,41,16,56,17,9,19,12,19,40,19,21
8,3909.0,97,87,12,72,65,42,-0.37268388965212934,-0.6017672267393286,1.2141059607611173,-0.3136781634006851,0,0,0.06496567979881906,0.10118829167445535,0.06563105858852909,0.0362195736523037,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,7,22,0,0,2,12,14,12,7,12,19,13,19,13,46,13,36
2,700.0,241,236,48,205,199,2,0.00022876917317917288,0.7296936505101258,-0.6241875981275594,0.00948465654891628,0,0,0.366777459848302,0.3765104509751906,0.34894877971526006,0.45139023479977786,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,3,3,6,1,3,11,48,12,1,12,26,15,46,15,42,15,50
1,2878.0,173,158,7,69,269,47,-0.3353926237695985,-0.7041872942200559,-0.7655947949651499,-0.6907014533418867,0,0,0.09240311434877206,-0.18789997559131663,-0.019364257749490188,0.13666408844604744,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,15,1,0,0,8,3,7,58,8,9,10,3,10,37,10,6
5,2720.0,198,267,7,204,198,36,-0.3540382567108639,-0.2945070242971468,0.5070699765731647,-0.3136781634006851,0,0,0.20215285254858403,0.2250832633597862,0.2214558052082311,0.1902344963360441,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,22,4,0,0,12,53,12,47,13,2,15,13,15,35,15,25
1,2093.0,243,223,4,72,65,42,-0.3167469908283331,-0.6017672267393286,0.36566277973557415,-0.7445619233334869,0,0,0.8194951299225265,0.48663931469548466,0.5472711845039717,1.049035097822553,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,2,26,0,0,3,10,19,10,15,10,27,15,1,15,46,15,12
3,1190.0,232,222,4,136,183,30,0.00022876917317917288,0.32001338058721673,0.5070699765731647,0.5301358664677185,0,0,2.355991464719894,2.771813236891587,2.7571494092924733,2.6929769899468257,0.2393785041201494,-0.06894253228977358,1.320765859707373,-0.023245306255910498,-0.20843730158677687,2024,3,18,0,0,3,21,15,21,28,21,49,5,59,5,34,6,11
11,4724.0,24,19,4,244,228,4,-0.39132952259339476,-0.8066073617007832,-0.48278040128996896,-0.5470735333642861,0,0,-0.9913755503743713,-1.1239953172138164,-0.9968103956367119,-1.003381154462944,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,16,5,1,0,6,15,6,7,6,17,7,2,7,30,7,7
12,2485.0,154,176,30,196,51,11,-0.3167469908283331,2.06115452775958,2.769585125974613,0.4583219064789182,0,0,0.11984054889872506,0.7068970421360729,0.16479226098288494,-0.17471390741455817,-0.14611797876824387,-0.06894253228977358,1.888532764706608,-0.023245306255910498,-0.20843730158677687,2024,10,13,6,1,0,16,34,16,30,17,8,18,15,18,10,18,43
